RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA_1,pmDE_1,o_Gmag,Gmag,BP-RP,PMemb,Cluster,_RA_icrs,_DE_icrs,RAhour,DEdeg,Bmag,Vmag,Jmag,Hmag,Ksmag,e_Jmag,e_Hmag,e_Ksmag,pmRA_2,pmDE_2,e_pm,RV,e_RV,Qflg,Rflg,Bflg,2MASS,ASCC,SpType,Rcl,Ps,Pkin,PJKs,PJH,MWSC,Separation
0.91054690017,-28.62371050566,2333061733093062784,22.1008321862,-79.3369630781,4.1658,18.518,2.62,268,12.067337,0.902877,1.0,Blanco_1,0.910456068925375,-28.6237217861853,0.06069741,-28.623726,12.1,11.6,10.984,10.612,10.572,0.03,0.03,0.03,18.62,-0.75,4.0,999.99,-9.99,AAA,222,111,108819573,0,,1.3765,1,85.04,100.0,100.0,7,0.2766443246008148
0.37373348761,-29.47472559648,2332903467842499840,17.9607345242,-78.7653076631,4.1667,18.585,2.9410000000000003,272,17.824444,2.852442,1.0,Blanco_1,0.373641572542993,-29.4747382590873,0.0249058,-29.474773,19.6,17.3,14.852,14.159,13.991,0.039,0.041,0.059,29.07,-3.66,4.65,999.99,-9.99,AAA,222,111,1124171886,0,,0.6878,1,24.15,70.2,14.22,7,0.49026835227223015
0.10415621206,-29.16592587649,2332972810090019712,19.6859644835,-78.5762180171,4.1162,19.569000000000003,3.1210000000000004,234,16.600742,2.515498,1.0,Blanco_1,0.104059722980243,-29.1659393140943,0.00693707,-29.165926,18.3,16.5,13.845,13.192,13.02,0.03,0.03,0.03,18.05,-0.5,3.9,999.99,-9.99,AAA,222,111,1124152444,0,,1.0756,1,84.17,99.97,89.85,7,0.31488042413095957
-0.10475732267,-29.55799560235,2332889590803717376,17.8729421903,-78.3410310087,4.1375,18.617,2.455,239,15.836464,2.196655,1.0,Blanco_1,359.895150528214,-29.5580061724571,-0.00698919,-29.558006,17.5,15.5,13.336,12.676,12.512,0.03,0.03,0.03,23.87,-0.99,4.09,999.99,-9.99,AAA,222,111,142175804,0,,0.9661,1,65.81,100.0,100.0,7,0.25508579152240857
-0.11119677946,-29.54015787939,2332895672477406592,17.9644098502,-78.3382355927,4.1172,19.651000000000003,2.7340000000000004,245,16.205807,2.415134,1.0,Blanco_1,359.888705970568,-29.5401696507435,-0.00742006,-29.540174,17.8,16.1,13.531,12.874,12.685,0.03,0.03,0.03,21.8,0.75,4.09,999.99,-9.99,AAA,222,111,142175776,0,,0.9795,1,90.46,100.0,100.0,7,0.33154466078747724
-0.21827038154,-29.36830218034,2332945391018807168,18.8698421753,-78.270848329,4.209,19.032000000000004,2.4130000000000003,242,17.632656,2.753014,1.0,Blanco_1,359.781635591234,-29.3683125696126,-0.01455926,-29.3683,19.3,17.3,14.663,14.062,13.883,0.035,0.043,0.048,15.27,-0.1,4.09,999.99,-9.99,AAA,222,111,142158904,0,,1.148,1,68.44,98.33,95.82,7,0.37196069143026095
0.43269282778,-29.20014559766,2332928451667849856,19.3220587838,-78.856174228,4.1299,18.087000000000003,2.5900000000000003,226,16.718071,2.416513,1.0,Blanco_1,0.432603616263382,-29.2001567490193,0.0288388,-29.200136,18.4,16.6,14.052,13.419,13.225,0.03,0.032,0.037,18.11,-2.17,4.09,999.99,-9.99,AAA,222,111,108797976,0,,0.8914,1,71.59,98.38,92.77,7,0.3499509288254424
0.02888333223,-29.7495175569,2332872032977428864,16.8402800612,-78.4242553117,4.0402,18.259,2.4760000000000004,227,17.454983,2.863113,1.0,Blanco_1,0.0287927829599458,-29.7495282174247,0.00192,-29.749577,18.8,17.1,14.477,13.839,13.699,0.035,0.035,0.041,24.09,-7.46,3.9,999.99,-9.99,AAA,222,111,1124151547,0,,0.7835,1,15.34,96.71,65.59,7,0.3361108569632388
0.38926612367,-29.27018999207,2332926355723810304,18.9906304027,-78.8090365391,4.0631,18.314000000000004,2.8030000000000004,246,17.46983,2.94158,1.0,Blanco_1,0.389175730680246,-29.2702020605118,0.02594241,-29.270191,19.4,17.3,14.397,13.721,13.569,0.03,0.039,0.034,18.15,-5.03,5.0,999.99,-9.99,AAA,222,111,1124172181,0,,0.8476,1,57.2,94.23,29.44,7,0.4082330061738095
-0.36693164131,-29.32452011703,2332955458422140160,19.1668211845,-78.1482653034,4.202,20.148000000000003,3.0500000000000003,238,15.108697,1.993786,0.9,Blanco_1,359.632968860641,-29.3245332489375,-0.02447159,-29.324518,17.1,14.9,12.727,12.068,11.859,0.03,0.03,0.03,19.98,1.39,4.09,999.99,-9.99,AAA,222,111,142156805,0,,1.2806,1,98.72,96.86,57.01,7,0.44644600414866503
-0.23112782776,-29.15562314562,2332964181500433536,19.9152515246,-78.286878372,4.181,18.839000000000002,2.232,213,17.287926,2.884825,1.0,Blanco_1,359.768779291902,-29.155632755588,-0.01541465,-29.155603,19.1,17.1,14.218,13.617,13.383,0.035,0.03,0.03,22.01,-2.52,4.09,999.99,-9.99,AAA,222,111,142159214,0,,1.2866,1,65.48,91.78,100.0,7,0.2975644128536924
0.43532143643,-29.08514150149,2332930440236713984,19.9110015633,-78.8733371417,4.3809,19.138,1.8950000000000002,252,17.7399,2.866949,1.0,Blanco_1,0.435227146594047,-29.0851496604848,0.02901526,-29.085146,19.6,17.5,14.826,14.105,13.907,0.041,0.056,0.054,8.78,-4.48,4.85,999.99,-9.99,AAA,222,111,108797818,0,,0.995,1,17.28,23.61,14.25,7,0.29161252354232337
0.35186183644,-29.02455853225,2332934533341535744,20.2673711084,-78.8082516539,4.2632,18.757,2.2340000000000004,284,17.37916,3.016136,0.9,Blanco_1,0.351769477998767,-29.0245681508295,0.02345033,-29.024553,19.2,17.3,14.255,13.617,13.435,0.03,0.034,0.03,12.77,-5.26,3.9,999.99,-9.99,AAA,222,111,1124172568,0,,1.0802,1,17.8,99.3,77.33,7,0.3369509021877364
0.86725611264,-29.13556342937,2333008269340135808,19.3878115502,-79.2408866275,4.3644,19.253000000000004,2.0810000000000004,244,17.737131,2.883247,1.0,Blanco_1,0.867161209723356,-29.1355723891977,0.05780959,-29.135567,19.3,17.2,14.828,14.174,13.927,0.046,0.061,0.052,16.45,-2.43,4.0,999.99,-9.99,AAA,222,111,108818855,0,,0.8646,1,59.89,37.12,65.19,7,0.35314575271908144
0.45836471852,-28.43451575936,2333106091515255168,23.2696580463,-78.9559128533,4.1851,19.056,2.248,250,15.005149,1.861141,1.0,Blanco_1,0.458271416007082,-28.4345254382171,0.03055026,-28.434534,16.5,14.5,12.859,12.176,11.994,0.03,0.03,0.03,21.95,-4.65,4.09,999.99,-9.99,AAA,222,111,108796832,0,,1.6092,1,45.26,93.79,98.41,7,0.3569898963922441
0.19736582376,-28.84425084105,2332987344259403008,21.2614754566,-78.6934151466,4.1714,18.107000000000003,2.8800000000000003,219,17.265944,2.689428,1.0,Blanco_1,0.197276820852653,-28.8442632410208,0.01315,-28.844225,19.1,17.1,14.35,13.707,13.541,0.035,0.037,0.034,20.79,3.24,3.9,999.99,-9.99,AAA,222,111,1124169167,0,,1.3018,1,96.63,100.0,70.54,7,0.3769774861286413
0.57524095621,-29.40147350085,2332909347653323136,18.1936115018,-78.9500712655,4.1057,17.98,2.6730000000000005,235,13.740197,1.360637,1.0,Blanco_1,0.575152097403456,-29.4014850095705,0.03834413,-29.40145,14.7,13.2,12.112,11.508,11.432,0.03,0.03,0.03,18.28,3.85,3.9,999.99,-9.99,AAA,222,111,1124189503,0,,0.6563,1,92.86,95.67,84.64,7,0.2628223068664601
